layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,sigmoid,10,0.0001,256,184.8502521340042,65834.21224543704,-1.0790574550628662,0.8107981042640694
1,4,sigmoid,10,0.0001,512,184.94552851540666,65877.85677926108,-1.0804357528686523,0.8107005849381712
1,4,sigmoid,25,0.1,16,175.17895566991888,61680.516841931785,-0.947882890701294,0.8206970771034607
1,4,sigmoid,25,0.1,32,176.9728220650461,62561.80910353411,-0.9757144451141357,0.818860980486135
1,4,sigmoid,25,0.1,64,176.36442320448344,62303.385208781525,-0.9675532579421997,0.8194837019401398
1,4,sigmoid,25,0.1,128,176.5698261473615,62173.04651803701,-0.9634371995925903,0.8192734635134478
1,4,sigmoid,25,0.1,256,174.54880696734023,61454.88342909297,-0.9407573938369751,0.8213420604223745
1,4,sigmoid,25,0.1,512,176.86603723907086,62590.46469182834,-0.9766191244125366,0.8189702791821178
1,4,sigmoid,25,0.01,16,183.57358982251964,65301.02166894186,-1.0622191429138184,0.8121048210619042
1,4,sigmoid,25,0.01,32,184.87887264641432,65811.48107988946,-1.0783395767211914,0.8107688099831992
1,4,sigmoid,25,0.01,64,184.32395878188757,65571.73972925771,-1.0707685947418213,0.8113367873266248
1,4,sigmoid,25,0.01,128,184.13347687426915,65524.31220178769,-1.0692708492279053,0.8115317534552005
1,4,sigmoid,25,0.01,256,184.57686247184586,65689.04882317594,-1.0744731426239014,0.8110779299162274
1,4,sigmoid,25,0.01,512,183.7106413709555,65355.0253211751,-1.063924789428711,0.8119645431208234
1,4,sigmoid,25,0.001,16,184.9209988150066,65857.73155935715,-1.0798001289367676,0.810725692103371
1,4,sigmoid,25,0.001,32,184.80857612765786,65818.57576007476,-1.0785636901855469,0.8108407613841783
1,4,sigmoid,25,0.001,64,185.40461214277272,66030.33756031844,-1.0852510929107666,0.8102306938149716
1,4,sigmoid,25,0.001,128,184.69777256298394,65766.93288031599,-1.076932668685913,0.8109541734258097
1,4,sigmoid,25,0.001,256,184.61821092682342,65743.72808235102,-1.076200008392334,0.8110356080585226
1,4,sigmoid,25,0.001,512,184.62515064986516,65738.85755071758,-1.0760462284088135,0.811028504964314
1,4,sigmoid,25,0.0001,16,184.57009783513217,65731.45553148979,-1.0758123397827148,0.8110848538023212
1,4,sigmoid,25,0.0001,32,185.5685436729389,66100.3283100979,-1.0874614715576172,0.8100629030983225
1,4,sigmoid,25,0.0001,64,185.3401392650457,66005.47157231662,-1.084465742111206,0.8102966844779471
1,4,sigmoid,25,0.0001,128,184.63722563051417,65760.26077334111,-1.0767221450805664,0.8110161457210705
1,4,sigmoid,25,0.0001,256,185.13313290666278,65944.63419367278,-1.0825445652008057,0.8105085640668753
1,4,sigmoid,25,0.0001,512,184.2565601748276,65626.9111590817,-1.0725107192993164,0.811405772594854
1,4,sigmoid,50,0.1,16,164.7079554822283,56792.27424921219,-0.7935112714767456,0.8314145798544235
1,4,sigmoid,50,0.1,32,165.76975003430155,57280.450788089765,-0.8089280128479004,0.8303277891153515
1,4,sigmoid,50,0.1,64,166.81064979089007,57684.21911563149,-0.8216789960861206,0.8292623850656191
1,4,sigmoid,50,0.1,128,164.6970471051812,56784.04458226041,-0.7932513952255249,0.8314257450305208
1,4,sigmoid,50,0.1,256,164.83927783538064,56857.05316753219,-0.7955570220947266,0.8312801659822102
1,4,sigmoid,50,0.1,512,165.02961298785632,56976.84488860534,-0.7993401288986206,0.8310853500636066
1,4,sigmoid,50,0.01,16,183.32697718934304,65209.73061154767,-1.0593361854553223,0.8123572393148997
1,4,sigmoid,50,0.01,32,183.16853973507813,65086.91032907032,-1.055457592010498,0.8125194066171155
1,4,sigmoid,50,0.01,64,183.32245849023207,65180.409409830354,-1.0584101676940918,0.8123618643907553
1,4,sigmoid,50,0.01,128,183.65613695078875,65293.92630219778,-1.061995267868042,0.8120203306542593
1,4,sigmoid,50,0.01,256,182.65686699736892,64812.697057410645,-1.046797752380371,0.8130431248747503
1,4,sigmoid,50,0.01,512,183.25479307069398,65144.14477063823,-1.057265043258667,0.8124311227526162
1,4,sigmoid,50,0.001,16,184.18043151640165,65569.89010397415,-1.0707101821899414,0.8114836934325469
1,4,sigmoid,50,0.001,32,184.57649620165415,65726.26689133846,-1.075648307800293,0.8110783048089517
1,4,sigmoid,50,0.001,64,183.94327854498005,65475.87028509069,-1.0677409172058105,0.8117264293296007
1,4,sigmoid,50,0.001,128,184.46262829061877,65669.34294464097,-1.0738508701324463,0.8111948533361117
1,4,sigmoid,50,0.001,256,184.88637075621648,65826.83566408776,-1.078824520111084,0.8107611353569943
1,4,sigmoid,50,0.001,512,185.19448610351682,65959.3267526825,-1.0830085277557373,0.8104457665265948
1,4,sigmoid,50,0.0001,16,185.052694232695,65913.64240117405,-1.0815658569335938,0.8105908963841402
1,4,sigmoid,50,0.0001,32,185.3668760559141,66030.06671084186,-1.085242509841919,0.8102693182641616
1,4,sigmoid,50,0.0001,64,185.02388144660873,65895.78897188089,-1.0810019969940186,0.8106203874650884
1,4,sigmoid,50,0.0001,128,185.49298538773462,66076.20263028317,-1.0866994857788086,0.8101402401353791
1,4,sigmoid,50,0.0001,256,184.69299873407024,65773.81767863047,-1.0771501064300537,0.8109590596375944
1,4,sigmoid,50,0.0001,512,184.8350842184847,65821.15170720163,-1.0786449909210205,0.8108136292543657
1,4,sigmoid,100,0.1,16,150.18490121334415,49613.22003646028,-0.5667952299118042,0.8462795279290234
