hidden_layers,activation,epochs,learning_rate,batch_size,accuracy
[4],sigmoid,100,0.1,256,0.8917073170731707
[4],sigmoid,100,0.1,512,0.8360975609756097
[4],sigmoid,100,0.01,16,0.9482926829268292
[4],sigmoid,100,0.01,32,0.9317073170731708
[4],sigmoid,100,0.01,64,0.9004878048780488
[4],sigmoid,100,0.01,128,0.8673170731707317
[4],sigmoid,100,0.01,256,0.8634146341463415
[4],sigmoid,100,0.01,512,0.8575609756097561
[4],sigmoid,100,0.001,16,0.8702439024390244
[4],sigmoid,100,0.001,32,0.8546341463414634
[4],sigmoid,100,0.001,64,0.8604878048780488
[4],sigmoid,100,0.001,128,0.84
[4],sigmoid,100,0.001,256,0.8234146341463414
[4],sigmoid,100,0.001,512,0.7531707317073171
[4],sigmoid,100,0.0001,16,0.824390243902439
[4],sigmoid,100,0.0001,32,0.7785365853658537
[4],sigmoid,100,0.0001,64,0.7219512195121951
[4],sigmoid,100,0.0001,128,0.5131707317073171
[4],sigmoid,100,0.0001,256,0.6146341463414634
[4],sigmoid,100,0.0001,512,0.735609756097561
[4],sigmoid,250,10.0,16,0.5131707317073171
[4],sigmoid,250,10.0,32,0.688780487804878
[4],sigmoid,250,10.0,64,0.7297560975609756
[4],sigmoid,250,10.0,128,0.7765853658536586
[4],sigmoid,250,10.0,256,0.8
[4],sigmoid,250,10.0,512,0.5131707317073171
[4],sigmoid,250,1.0,16,0.8429268292682927
[4],sigmoid,250,1.0,32,0.8829268292682927
[4],sigmoid,250,1.0,64,0.8995121951219512
[4],sigmoid,250,1.0,128,0.848780487804878
[4],sigmoid,250,1.0,256,0.9024390243902439
[4],sigmoid,250,1.0,512,0.817560975609756
[4],sigmoid,250,0.1,16,0.9336585365853659
[4],sigmoid,250,0.1,32,0.9307317073170732
[4],sigmoid,250,0.1,64,0.9258536585365854
[4],sigmoid,250,0.1,128,0.9239024390243903
[4],sigmoid,250,0.1,256,0.9024390243902439
[4],sigmoid,250,0.1,512,0.8887804878048781
[4],sigmoid,250,0.01,16,0.9512195121951219
[4],sigmoid,250,0.01,32,0.9482926829268292
[4],sigmoid,250,0.01,64,0.935609756097561
[4],sigmoid,250,0.01,128,0.9082926829268293
[4],sigmoid,250,0.01,256,0.8682926829268293
[4],sigmoid,250,0.01,512,0.8653658536585366
[4],sigmoid,250,0.001,16,0.8995121951219512
[4],sigmoid,250,0.001,32,0.8682926829268293
[4],sigmoid,250,0.001,64,0.8653658536585366
[4],sigmoid,250,0.001,128,0.8604878048780488
[4],sigmoid,250,0.001,256,0.8507317073170731
[4],sigmoid,250,0.001,512,0.8214634146341463
[4],sigmoid,250,0.0001,16,0.8604878048780488
[4],sigmoid,250,0.0001,32,0.8341463414634146
[4],sigmoid,250,0.0001,64,0.824390243902439
[4],sigmoid,250,0.0001,128,0.8302439024390244
[4],sigmoid,250,0.0001,256,0.6819512195121952
[4],sigmoid,250,0.0001,512,0.5131707317073171
[4],relu,1,10.0,16,0.7209756097560975
[4],relu,1,10.0,32,0.5092682926829268
[4],relu,1,10.0,64,0.4868292682926829
[4],relu,1,10.0,128,0.5131707317073171
[4],relu,1,10.0,256,0.4868292682926829
[4],relu,1,10.0,512,0.7941463414634147
[4],relu,1,1.0,16,0.8370731707317073
[4],relu,1,1.0,32,0.7814634146341464
[4],relu,1,1.0,64,0.833170731707317
[4],relu,1,1.0,128,0.7609756097560976
[4],relu,1,1.0,256,0.8478048780487805
[4],relu,1,1.0,512,0.5170731707317073
[4],relu,1,0.1,16,0.8702439024390244
[4],relu,1,0.1,32,0.871219512195122
[4],relu,1,0.1,64,0.8634146341463415
[4],relu,1,0.1,128,0.8429268292682927
[4],relu,1,0.1,256,0.8204878048780487
[4],relu,1,0.1,512,0.8263414634146341
[4],relu,1,0.01,16,0.8273170731707317
[4],relu,1,0.01,32,0.8458536585365853
[4],relu,1,0.01,64,0.7717073170731708
[4],relu,1,0.01,128,0.7824390243902439
[4],relu,1,0.01,256,0.7414634146341463
[4],relu,1,0.01,512,0.7531707317073171
[4],relu,1,0.001,16,0.5746341463414634
[4],relu,1,0.001,32,0.5336585365853659
[4],relu,1,0.001,64,0.4868292682926829
[4],relu,1,0.001,128,0.3668292682926829
[4],relu,1,0.001,256,0.5629268292682926
[4],relu,1,0.001,512,0.43902439024390244
[4],relu,1,0.0001,16,0.47609756097560973
[4],relu,1,0.0001,32,0.6419512195121951
[4],relu,1,0.0001,64,0.3570731707317073
[4],relu,1,0.0001,128,0.44878048780487806
[4],relu,1,0.0001,256,0.5063414634146342
[4],relu,1,0.0001,512,0.5102439024390244
[4],relu,10,10.0,16,0.6195121951219512
[4],relu,10,10.0,32,0.4868292682926829
[4],relu,10,10.0,64,0.7180487804878048
[4],relu,10,10.0,128,0.7375609756097561
[4],relu,10,10.0,256,0.5131707317073171
[4],relu,10,10.0,512,0.5131707317073171
[4],relu,10,1.0,16,0.6936585365853658
[4],relu,10,1.0,32,0.7190243902439024
[4],relu,10,1.0,64,0.7014634146341463
[4],relu,10,1.0,128,0.7004878048780487
[4],relu,10,1.0,256,0.7151219512195122
[4],relu,10,1.0,512,0.8126829268292682
[4],relu,10,0.1,16,0.8526829268292683
[4],relu,10,0.1,32,0.8546341463414634
[4],relu,10,0.1,64,0.9180487804878049
[4],relu,10,0.1,128,0.8507317073170731
[4],relu,10,0.1,256,0.8809756097560976
[4],relu,10,0.1,512,0.824390243902439
[4],relu,10,0.01,16,0.8731707317073171
[4],relu,10,0.01,32,0.855609756097561
[4],relu,10,0.01,64,0.8731707317073171
[4],relu,10,0.01,128,0.8614634146341463
[4],relu,10,0.01,256,0.8234146341463414
[4],relu,10,0.01,512,0.7902439024390244
[4],relu,10,0.001,16,0.8458536585365853
[4],relu,10,0.001,32,0.8380487804878048
[4],relu,10,0.001,64,0.7502439024390244
[4],relu,10,0.001,128,0.5131707317073171
[4],relu,10,0.001,256,0.5258536585365854
[4],relu,10,0.001,512,0.5131707317073171
[4],relu,10,0.0001,16,0.5912195121951219
[4],relu,10,0.0001,32,0.5014634146341463
[4],relu,10,0.0001,64,0.6380487804878049
[4],relu,10,0.0001,128,0.5131707317073171
[4],relu,10,0.0001,256,0.5970731707317073
[4],relu,10,0.0001,512,0.5990243902439024
[4],relu,25,10.0,16,0.6770731707317074
[4],relu,25,10.0,32,0.7551219512195122
[4],relu,25,10.0,64,0.5131707317073171
[4],relu,25,10.0,128,0.7736585365853659
[4],relu,25,10.0,256,0.6526829268292683
[4],relu,25,10.0,512,0.7678048780487805
[4],relu,25,1.0,16,0.7014634146341463
[4],relu,25,1.0,32,0.7668292682926829
[4],relu,25,1.0,64,0.7453658536585366
[4],relu,25,1.0,128,0.7531707317073171
[4],relu,25,1.0,256,0.8087804878048781
[4],relu,25,1.0,512,0.7863414634146342
[4],relu,25,0.1,16,0.9004878048780488
[4],relu,25,0.1,32,0.9131707317073171
[4],relu,25,0.1,64,0.9385365853658536
[4],relu,25,0.1,128,0.871219512195122
[4],relu,25,0.1,256,0.8634146341463415
[4],relu,25,0.1,512,0.8429268292682927
[4],relu,25,0.01,16,0.92
[4],relu,25,0.01,32,0.8936585365853659
[4],relu,25,0.01,64,0.8790243902439024
[4],relu,25,0.01,128,0.8731707317073171
[4],relu,25,0.01,256,0.8624390243902439
[4],relu,25,0.01,512,0.8097560975609757
[4],relu,25,0.001,16,0.8721951219512195
[4],relu,25,0.001,32,0.8653658536585366
[4],relu,25,0.001,64,0.8439024390243902
[4],relu,25,0.001,128,0.7960975609756098
[4],relu,25,0.001,256,0.6741463414634147
[4],relu,25,0.001,512,0.5307317073170732
[4],relu,25,0.0001,16,0.7990243902439025
[4],relu,25,0.0001,32,0.6848780487804879
[4],relu,25,0.0001,64,0.584390243902439
[4],relu,25,0.0001,128,0.615609756097561
[4],relu,25,0.0001,256,0.5131707317073171
[4],relu,25,0.0001,512,0.5297560975609756
[4],relu,50,10.0,16,0.4868292682926829
[4],relu,50,10.0,32,0.39121951219512197
[4],relu,50,10.0,64,0.6234146341463415
[4],relu,50,10.0,128,0.7619512195121951
[4],relu,50,10.0,256,0.5131707317073171
[4],relu,50,10.0,512,0.4868292682926829
[4],relu,50,1.0,16,0.7034146341463414
[4],relu,50,1.0,32,0.7434146341463415
[4],relu,50,1.0,64,0.6146341463414634
[4],relu,50,1.0,128,0.7678048780487805
[4],relu,50,1.0,256,0.791219512195122
[4],relu,50,1.0,512,0.8117073170731708
[4],relu,50,0.1,16,0.9131707317073171
[4],relu,50,0.1,32,0.9082926829268293
[4],relu,50,0.1,64,0.8917073170731707
[4],relu,50,0.1,128,0.9034146341463415
[4],relu,50,0.1,256,0.8380487804878048
[4],relu,50,0.1,512,0.8439024390243902
[4],relu,50,0.01,16,0.9317073170731708
[4],relu,50,0.01,32,0.911219512195122
[4],relu,50,0.01,64,0.8917073170731707
[4],relu,50,0.01,128,0.8868292682926829
[4],relu,50,0.01,256,0.8595121951219512
[4],relu,50,0.01,512,0.8419512195121951
[4],relu,50,0.001,16,0.8907317073170732
[4],relu,50,0.001,32,0.8634146341463415
[4],relu,50,0.001,64,0.8604878048780488
[4],relu,50,0.001,128,0.8468292682926829
[4],relu,50,0.001,256,0.7814634146341464
[4],relu,50,0.001,512,0.7463414634146341
[4],relu,50,0.0001,16,0.8048780487804879
[4],relu,50,0.0001,32,0.7014634146341463
[4],relu,50,0.0001,64,0.7180487804878048
[4],relu,50,0.0001,128,0.47317073170731705
[4],relu,50,0.0001,256,0.5082926829268293
